=== marques === ['id', 'nom', 'description', 'actif', 'id_wizishop']
(170, 'Clés USB', '172', 17, 1)
(171, 'Mangas', '173', 18, 1)
(172, 'Comics', '174', 18, 1)
(173, 'Albums', '175', 18, 1)
(174, 'Livres jeunesse', '176', 18, 1)
(175, 'Coloriages', '177', 18, 1)
(176, 'Artbooks', '178', 18, 1)
(177, 'Guides', '179', 18, 1)
(178, 'Bodies bébé', '180', 19, 1)
(179, 'Pyjamas bébé', '181', 19, 1)
(180, 'Bavoirs', '182', 19, 1)
(181, 'Bonnets bébé', '183', 19, 1)
(182, 'Chaussons bébé', '184', 19, 1)
(183, 'Couvertures bébé', '185', 19, 1)
(184, 'Doudous', '186', 19, 1)
(185, 'Trousses de toilette bébé', '187', 19, 1)
(186, 'Cadeaux de naissance', '188', 19, 1)
(187, 'Trousses de toilette', '189', 20, 1)
(188, 'Shampoings', '190', 20, 1)
(189, 'Gels douche & Bains', '191', 20, 1)
(190, 'Maquillage', '192', 20, 1)
(191, 'Accessoires cheveux beauté', '193', 20, 1)
(192, 'Brosses & Peignes', '194', 20, 1)
(193, 'Parfums & Brumes', '195', 20, 1)
(194, 'Coffrets beauté', '196', 20, 1)
(195, 'Accessoires de bain', '197', 20, 1)
(196, 'Gamelles', '198', 21, 1)
(197, 'Lits & Coussins', '199', 21, 1)
(198, 'Colliers', '200', 21, 1)
(199, 'Laisses & Harnais', '201', 21, 1)
(200, 'Vêtements pour animaux', '202', 21, 1)
(201, 'Sacs de transport', '203', 21, 1)
(202, 'Idées cadeaux', '204', None, 1)
(203, 'Bonnes affaires', '205', None, 1)
(204, 'Nouveautés', '206', None, 1)
(205, 'Univers & Licences', '207', None, 1)
(206, 'Meilleures ventes', '208', None, 1)
(207, 'Événements', '209', None, 1)
(208, 'Noël', '210', 202, 1)
(209, 'Anniversaire', '211', 202, 1)
(210, 'Naissance', '212', 202, 1)
(211, 'Fête des mères', '213', 202, 1)
(212, 'Fête des pères', '214', 202, 1)
(213, 'Saint-Valentin', '215', 202, 1)
(214, 'Moins de 15 €', '216', 202, 1)
(215, '15 à 30 €', '217', 202, 1)
(216, '30 à 50 €', '218', 202, 1)
(217, 'Plus de 50 €', '219', 202, 1)
(218, 'Pour elle', '220', 202, 1)
(219, 'Pour lui', '221', 202, 1)
(220, 'Pour enfant', '222', 202, 1)
(221, 'Pour bébé', '223', 202, 1)
(222, 'Petits prix', '224', 203, 1)
(223, 'Déstockage', '225', 203, 1)
(224, 'Fins de série', '226', 203, 1)
(225, 'Lots & Coffrets', '227', 203, 1)
(226, 'Dernières arrivées', '228', 204, 1)
(227, 'Précommandes', '229', 204, 1)
(228, 'Retour en stock', '230', 204, 1)
(229, 'Disney', '231', 205, 1)
(230, 'Marvel', '232', 205, 1)
(231, 'DC Comics', '233', 205, 1)
(232, 'Star Wars', '234', 205, 1)
(233, 'Harry Potter', '235', 205, 1)
(234, 'Pokémon', '236', 205, 1)
(235, 'Manga & Anime', '237', 205, 1)
(236, 'Gaming', '238', 205, 1)
(237, 'Top ventes du mois', '239', 206, 1)
(238, 'Coups de cœur', '240', 206, 1)
(239, 'Halloween', '241', 207, 1)
(240, 'Rentrée des classes', '242', 207, 1)
(241, 'Été & Plage', '243', 207, 1)
(242, 'Convention & Cosplay', '244', 207, 1)
(243, 'Jeunesse', '245', 205, 1)
(244, 'Cinéma & Séries', '246', 205, 1)

=== themes_template === ['id', 'nom', 'description', 'actif']
(1, 'Template STOCK Vêtements', 'T-shirt, débardeur, sweat, hoodie, jogging, legging, robe, pyjama, body, sous-vêtements, chaussettes, Garçons et Filles', 1)
(2, 'Template NOEL  STOCK pour Cartables, Sacs et Sacs à dos', 'pour Cartables, Sacs et Sacs à dos (STOCK)', 1)
(3, 'Template STOCK Peluches', 'Petites peluches, moyennes peluches, grandes peluches. Template Peluches modèle Stock', 1)
(4, 'Template STOCK Décorations', 'Template pour les articles maison déco', 1)
(5, 'Template STOCK Papeterie-Rentrée Scolaire', 'Univers de la Papeterie et de la rentrée scolaire', 1)
(6, 'Template STOCK Figurines de collections et Statuettes', 'Bobble Head, Figurines PVC, Statuettes en résine, Diorama', 1)
(7, 'Template STOCK Chaussures & Chaussons Stock', 'Chaussures, baskets, bottes, chaussons, tongs, claquettes, Crocs, sandales', 1)
(8, 'Template STOCK Cartables, Sacs et Sacs à dos Stock', 'Sac à dos, cartable, sac de piscine, sac de sport', 1)
(9, 'Template STOCK Linge de maison', 'Draps, housses de couette, serviettes, plaids, couvertures, coussins', 1)
(10, 'Template 1 STOCK Jeux & Jouets', 'puzzles, jeux de société, jouets divers', 1)
(11, 'Template 2 STOCK Jeux et Jouets Playmobil', 'Playmobil', 1)
(12, 'Template 3 STOCK Jeux et Jouets Lego', 'Univers Lego', 1)
(13, 'Template STOCK Funko Pop', 'Figurines Funko Pop', 1)
